name,year,rainfall
Kilimanjaro, 2000 ,851.40590547
Kilimanjaro, 2001 ,878.36687537
Kilimanjaro, 2002 ,1164.31613805
Kilimanjaro, 2003 ,652.764447429
Kilimanjaro, 2004 ,1050.0201178
Kilimanjaro, 2005 ,816.237818558
Kilimanjaro, 2006 ,1125.27652297
Kilimanjaro, 2007 ,905.58950398
Kilimanjaro, 2008 ,870.161766602
Kilimanjaro, 2009 ,825.557766573
Kilimanjaro, 2010 ,823.072844207
Kilimanjaro, 2011 ,988.71622488
Kilimanjaro, 2012 ,910.862031855
Kilimanjaro, 2013 ,988.711271791
Kilimanjaro, 2014 ,993.466126355
Kilimanjaro, 2015 ,1091.14800833
Kilimanjaro, 2016 ,916.30862823
Kilimanjaro, 2017 ,964.272087818
Mara, 2000 ,854.945506605
Mara, 2001 ,1154.33140396
Mara, 2002 ,1227.04024568
Mara, 2003 ,834.738266625
Mara, 2004 ,935.267432284
Mara, 2005 ,861.627446758
Mara, 2006 ,1227.71796752
Mara, 2007 ,1013.1763684
Mara, 2008 ,923.121602637
Mara, 2009 ,912.123557343
Mara, 2010 ,987.251723075
Mara, 2011 ,1162.38992664
Mara, 2012 ,1041.99133508
Mara, 2013 ,1020.53510334
Mara, 2014 ,824.004940089
Mara, 2015 ,1180.17784845
Mara, 2016 ,918.226490446
Mara, 2017 ,963.978612459
Manyara, 2000 ,657.564264914
Manyara, 2001 ,615.346771735
Manyara, 2002 ,894.06995353
Manyara, 2003 ,444.788153575
Manyara, 2004 ,784.513150282
Manyara, 2005 ,544.152464389
Manyara, 2006 ,781.320071923
Manyara, 2007 ,690.795586488
Manyara, 2008 ,690.591907179
Manyara, 2009 ,685.164088389
Manyara, 2010 ,615.512149896
Manyara, 2011 ,711.859212516
Manyara, 2012 ,744.712105597
Manyara, 2013 ,628.616077272
Manyara, 2014 ,709.09082464
Manyara, 2015 ,839.710857
Manyara, 2016 ,732.440419858
Manyara, 2017 ,708.983382006
Arusha, 2000 ,645.658859217
Arusha, 2001 ,825.554129418
Arusha, 2002 ,1020.04023951
Arusha, 2003 ,634.328710365
Arusha, 2004 ,865.83140266
Arusha, 2005 ,660.169809755
Arusha, 2006 ,972.456630875
Arusha, 2007 ,772.035755494
Arusha, 2008 ,768.417756948
Arusha, 2009 ,683.752548863
Arusha, 2010 ,785.284522692
Arusha, 2011 ,839.782331199
Arusha, 2012 ,790.206088961
Arusha, 2013 ,839.285409734
Arusha, 2014 ,718.560059092
Arusha, 2015 ,999.885556428
Arusha, 2016 ,824.141870691
Arusha, 2017 ,790.94702415
Kagera, 2000 ,1155.6655654
Kagera, 2001 ,1286.15347142
Kagera, 2002 ,1477.31615422
Kagera, 2003 ,983.375208691
Kagera, 2004 ,1060.34960672
Kagera, 2005 ,948.742641323
Kagera, 2006 ,1282.73478942
Kagera, 2007 ,1366.95332598
Kagera, 2008 ,1126.6955671
Kagera, 2009 ,1392.36639199
Kagera, 2010 ,1314.20760986
Kagera, 2011 ,1289.94623118
Kagera, 2012 ,1273.06623446
Kagera, 2013 ,1145.85137784
Kagera, 2014 ,1190.5418709
Kagera, 2015 ,1190.23853841
Kagera, 2016 ,1020.1272454
Kagera, 2017 ,1435.61737554
Mbeya, 2000 ,962.614866736
Mbeya, 2001 ,1005.23215652
Mbeya, 2002 ,1305.30986255
Mbeya, 2003 ,869.693775356
Mbeya, 2004 ,1092.50675633
Mbeya, 2005 ,809.929582536
Mbeya, 2006 ,1041.73218189
Mbeya, 2007 ,982.218986209
Mbeya, 2008 ,1175.32723801
Mbeya, 2009 ,1129.90505611
Mbeya, 2010 ,843.414710774
Mbeya, 2011 ,1146.0033047700001
Mbeya, 2012 ,1081.90341532
Mbeya, 2013 ,931.332461961
Mbeya, 2014 ,1046.22059027
Mbeya, 2015 ,1113.92916839
Mbeya, 2016 ,1238.35783393
Mbeya, 2017 ,1088.00889963
Singida, 2000 ,650.65955372
Singida, 2001 ,613.155922659
Singida, 2002 ,888.384982109
Singida, 2003 ,503.571213706
Singida, 2004 ,670.594577062
Singida, 2005 ,411.468193413
Singida, 2006 ,726.629032093
Singida, 2007 ,725.619396576
Singida, 2008 ,769.642173854
Singida, 2009 ,794.261090311
Singida, 2010 ,561.587711143
Singida, 2011 ,691.292037427
Singida, 2012 ,820.259261353
Singida, 2013 ,560.687668151
Singida, 2014 ,662.126563192
Singida, 2015 ,811.973404022
Singida, 2016 ,789.726853029
Singida, 2017 ,758.20987032
Mtwara, 2000 ,886.120706012
Mtwara, 2001 ,608.164892204
Mtwara, 2002 ,1308.13741326
Mtwara, 2003 ,615.606494699
Mtwara, 2004 ,905.941983824
Mtwara, 2005 ,598.60488788
Mtwara, 2006 ,1145.20340733
Mtwara, 2007 ,671.195739624
Mtwara, 2008 ,918.71048038
Mtwara, 2009 ,742.134257108
Mtwara, 2010 ,1050.59851694
Mtwara, 2011 ,1036.33963296
Mtwara, 2012 ,691.094307134
Mtwara, 2013 ,1108.58754276
Mtwara, 2014 ,945.773808908
Mtwara, 2015 ,998.076122515
Mtwara, 2016 ,1095.94789544
Mtwara, 2017 ,1221.15394868
Iringa, 2000 ,841.343956472
Iringa, 2001 ,746.727547602
Iringa, 2002 ,1061.19488448
Iringa, 2003 ,622.730009767
Iringa, 2004 ,888.119587068
Iringa, 2005 ,592.634229587
Iringa, 2006 ,788.966314449
Iringa, 2007 ,812.577066128
Iringa, 2008 ,917.775940591
Iringa, 2009 ,882.815771967
Iringa, 2010 ,798.621449252
Iringa, 2011 ,912.227275043
Iringa, 2012 ,836.249417818
Iringa, 2013 ,645.714876611
Iringa, 2014 ,939.477495753
Iringa, 2015 ,992.2335302
Iringa, 2016 ,932.231129366
Iringa, 2017 ,821.814214983
Dar es Salaam, 2000 ,888.891797216
Dar es Salaam, 2001 ,871.075010028
Dar es Salaam, 2002 ,1366.10342937
Dar es Salaam, 2003 ,573.055774037
Dar es Salaam, 2004 ,1027.62480369
Dar es Salaam, 2005 ,1091.45325408
Dar es Salaam, 2006 ,1251.20198311
Dar es Salaam, 2007 ,945.777995681
Dar es Salaam, 2008 ,889.481549231
Dar es Salaam, 2009 ,875.562530564
Dar es Salaam, 2010 ,944.960991168
Dar es Salaam, 2011 ,1254.36545412
Dar es Salaam, 2012 ,652.676425238
Dar es Salaam, 2013 ,830.330371399
Dar es Salaam, 2014 ,1107.77727255
Dar es Salaam, 2015 ,945.483026534
Dar es Salaam, 2016 ,679.32166281
Dar es Salaam, 2017 ,1411.56190057
Lindi, 2000 ,927.321373258
Lindi, 2001 ,768.67539499
Lindi, 2002 ,1331.53754019
Lindi, 2003 ,650.229417017
Lindi, 2004 ,993.311886583
Lindi, 2005 ,723.721129268
Lindi, 2006 ,1157.63959332
Lindi, 2007 ,816.16574899
Lindi, 2008 ,954.212145559
Lindi, 2009 ,852.027333968
Lindi, 2010 ,1026.70044589
Lindi, 2011 ,1080.11876052
Lindi, 2012 ,780.74823954
Lindi, 2013 ,997.585636129
Lindi, 2014 ,1044.55597379
Lindi, 2015 ,984.784319811
Lindi, 2016 ,1064.91430217
Lindi, 2017 ,1224.08853913
Tabora, 2000 ,824.757123385
Tabora, 2001 ,870.329196464
Tabora, 2002 ,1111.77279202
Tabora, 2003 ,706.222170306
Tabora, 2004 ,832.266614159
Tabora, 2005 ,591.838806409
Tabora, 2006 ,1122.21341009
Tabora, 2007 ,919.836356624
Tabora, 2008 ,930.49971478
Tabora, 2009 ,923.419831791
Tabora, 2010 ,832.070243967
Tabora, 2011 ,869.734683308
Tabora, 2012 ,839.485945691
Tabora, 2013 ,932.451422804
Tabora, 2014 ,819.917764501
Tabora, 2015 ,1013.68381358
Tabora, 2016 ,1014.81402136
Tabora, 2017 ,1153.51239887
Pwani, 2000 ,951.011589252
Pwani, 2001 ,897.616585744
Pwani, 2002 ,1381.56966138
Pwani, 2003 ,560.826470242
Pwani, 2004 ,1122.64513776
Pwani, 2005 ,978.901329432
Pwani, 2006 ,1267.05433306
Pwani, 2007 ,993.414463423
Pwani, 2008 ,942.562037938
Pwani, 2009 ,924.279954632
Pwani, 2010 ,1013.58194066
Pwani, 2011 ,1162.60064342
Pwani, 2012 ,821.756840474
Pwani, 2013 ,840.833265999
Pwani, 2014 ,1190.30411437
Pwani, 2015 ,996.938588587
Pwani, 2016 ,896.381263875
Pwani, 2017 ,1300.0190871
Ruvuma, 2000 ,1160.67443898
Ruvuma, 2001 ,1072.92735301
Ruvuma, 2002 ,1469.86761663
Ruvuma, 2003 ,1009.92300556
Ruvuma, 2004 ,1158.47320037
Ruvuma, 2005 ,852.447770805
Ruvuma, 2006 ,1198.08315092
Ruvuma, 2007 ,1167.23591738
Ruvuma, 2008 ,1076.63769104
Ruvuma, 2009 ,1081.04546087
Ruvuma, 2010 ,1123.47861423
Ruvuma, 2011 ,1158.36090156
Ruvuma, 2012 ,1013.45710249
Ruvuma, 2013 ,1048.98400491
Ruvuma, 2014 ,1167.51386432
Ruvuma, 2015 ,1064.52838067
Ruvuma, 2016 ,1124.9610181
Ruvuma, 2017 ,1291.5383852
Morogoro, 2000 ,1255.58298197
Morogoro, 2001 ,1152.58327849
Morogoro, 2002 ,1548.45448531
Morogoro, 2003 ,942.686178477
Morogoro, 2004 ,1329.85202106
Morogoro, 2005 ,999.997071664
Morogoro, 2006 ,1339.48553182
Morogoro, 2007 ,1212.3511712
Morogoro, 2008 ,1210.84233954
Morogoro, 2009 ,1247.43896504
Morogoro, 2010 ,1255.94375425
Morogoro, 2011 ,1279.33581579
Morogoro, 2012 ,1239.19127373
Morogoro, 2013 ,1049.29489178
Morogoro, 2014 ,1400.53637563
Morogoro, 2015 ,1274.44030854
Morogoro, 2016 ,1268.55607578
Morogoro, 2017 ,1329.68669205
Rukwa, 2000 ,902.827357507
Rukwa, 2001 ,940.477958776
Rukwa, 2002 ,1225.44009973
Rukwa, 2003 ,891.238021193
Rukwa, 2004 ,1098.20325261
Rukwa, 2005 ,746.098749265
Rukwa, 2006 ,876.868212094
Rukwa, 2007 ,899.638582613
Rukwa, 2008 ,1171.97756388
Rukwa, 2009 ,1142.77433132
Rukwa, 2010 ,855.027701356
Rukwa, 2011 ,1025.65513121
Rukwa, 2012 ,954.937464746
Rukwa, 2013 ,836.164537998
Rukwa, 2014 ,856.583235463
Rukwa, 2015 ,1091.79298223
Rukwa, 2016 ,1387.72348031
Rukwa, 2017 ,1025.14193003
Kigoma, 2000 ,1053.74088691
Kigoma, 2001 ,1038.46594451
Kigoma, 2002 ,1171.60770929
Kigoma, 2003 ,919.968849651
Kigoma, 2004 ,964.260509816
Kigoma, 2005 ,861.654885803
Kigoma, 2006 ,1274.43162648
Kigoma, 2007 ,970.007070213
Kigoma, 2008 ,1119.17772923
Kigoma, 2009 ,1169.6402944
Kigoma, 2010 ,1072.40478201
Kigoma, 2011 ,1244.1315369
Kigoma, 2012 ,898.898376386
Kigoma, 2013 ,1089.35005848
Kigoma, 2014 ,1030.52072907
Kigoma, 2015 ,1177.87482963
Kigoma, 2016 ,1109.09966695
Kigoma, 2017 ,1052.34865335
Tanga, 2000 ,985.359624578
Tanga, 2001 ,938.576240503
Tanga, 2002 ,1258.78100241
Tanga, 2003 ,530.755605219
Tanga, 2004 ,1161.13412455
Tanga, 2005 ,932.952068575
Tanga, 2006 ,1279.51189662
Tanga, 2007 ,1111.55150905
Tanga, 2008 ,950.48956608
Tanga, 2009 ,904.195864799
Tanga, 2010 ,893.425324986
Tanga, 2011 ,1082.32672692
Tanga, 2012 ,935.637694103
Tanga, 2013 ,883.170217476
Tanga, 2014 ,1236.60094727
Tanga, 2015 ,1084.11984299
Tanga, 2016 ,931.292615165
Tanga, 2017 ,1178.72503227
Dodoma, 2000 ,668.134110519
Dodoma, 2001 ,499.427082766
Dodoma, 2002 ,781.967800302
Dodoma, 2003 ,438.276527952
Dodoma, 2004 ,674.239525161
Dodoma, 2005 ,344.214184462
Dodoma, 2006 ,592.831519869
Dodoma, 2007 ,682.061168519
Dodoma, 2008 ,664.083307779
Dodoma, 2009 ,773.137235858
Dodoma, 2010 ,506.149915948
Dodoma, 2011 ,642.826621562
Dodoma, 2012 ,784.44692488
Dodoma, 2013 ,437.271434256
Dodoma, 2014 ,635.600352134
Dodoma, 2015 ,709.193614072
Dodoma, 2016 ,679.691218548
Dodoma, 2017 ,585.186495732
Zanzibar South & Central, 2000 ,1304.3
Zanzibar South & Central, 2001 ,1287.3
Zanzibar South & Central, 2002 ,1776.6
Zanzibar South & Central, 2003 ,339.7
Zanzibar South & Central, 2004 ,1850.9
Zanzibar South & Central, 2005 ,1789.7
Zanzibar South & Central, 2006 ,1723.2
Zanzibar South & Central, 2007 ,1704.3
Zanzibar South & Central, 2008 ,1374.4
Zanzibar South & Central, 2009 ,1058.7
Zanzibar South & Central, 2010 ,1235.6
Zanzibar South & Central, 2011 ,1504.7
Zanzibar South & Central, 2012 ,1051.5
Zanzibar South & Central, 2013 ,961.3
Zanzibar South & Central, 2014 ,1793.1
Zanzibar South & Central, 2015 ,1411.4
Zanzibar South & Central, 2016 ,1262
Zanzibar South & Central, 2017 ,1758.7
North Pemba, 2000 ,1768
North Pemba, 2001 ,1732.7
North Pemba, 2002 ,2035.1
North Pemba, 2003 ,1231.9
North Pemba, 2004 ,1932.7
North Pemba, 2005 ,1843.5
North Pemba, 2006 ,2214
North Pemba, 2007 ,2024
North Pemba, 2008 ,1730.9
North Pemba, 2009 ,1626.6
North Pemba, 2010 ,1627.5
North Pemba, 2011 ,1864.5
North Pemba, 2012 ,1589.2
North Pemba, 2013 ,1678
North Pemba, 2014 ,2111.5
North Pemba, 2015 ,1882.9
North Pemba, 2016 ,1657.4
North Pemba, 2017 ,2109.6
Zanzibar North, 2000 ,1304.3
Zanzibar North, 2001 ,1287.3
Zanzibar North, 2002 ,1776.6
Zanzibar North, 2003 ,339.7
Zanzibar North, 2004 ,1850.9
Zanzibar North, 2005 ,1789.7
Zanzibar North, 2006 ,1723.2
Zanzibar North, 2007 ,1704.3
Zanzibar North, 2008 ,1374.4
Zanzibar North, 2009 ,1058.7
Zanzibar North, 2010 ,1235.6
Zanzibar North, 2011 ,1504.7
Zanzibar North, 2012 ,1051.5
Zanzibar North, 2013 ,961.3
Zanzibar North, 2014 ,1793.1
Zanzibar North, 2015 ,1411.4
Zanzibar North, 2016 ,1262
Zanzibar North, 2017 ,1758.7
Zanzibar Urban/West, 2000 ,1304.3
Zanzibar Urban/West, 2001 ,1287.3
Zanzibar Urban/West, 2002 ,1776.6
Zanzibar Urban/West, 2003 ,339.7
Zanzibar Urban/West, 2004 ,1850.9
Zanzibar Urban/West, 2005 ,1789.7
Zanzibar Urban/West, 2006 ,1723.2
Zanzibar Urban/West, 2007 ,1704.3
Zanzibar Urban/West, 2008 ,1374.4
Zanzibar Urban/West, 2009 ,1058.7
Zanzibar Urban/West, 2010 ,1235.6
Zanzibar Urban/West, 2011 ,1504.7
Zanzibar Urban/West, 2012 ,1051.5
Zanzibar Urban/West, 2013 ,961.3
Zanzibar Urban/West, 2014 ,1793.1
Zanzibar Urban/West, 2015 ,1411.4
Zanzibar Urban/West, 2016 ,1262
Zanzibar Urban/West, 2017 ,1758.7
South Pemba, 2000 ,1768
South Pemba, 2001 ,1732.7
South Pemba, 2002 ,2035.1
South Pemba, 2003 ,1231.9
South Pemba, 2004 ,1932.7
South Pemba, 2005 ,1843.5
South Pemba, 2006 ,2214
South Pemba, 2007 ,2024
South Pemba, 2008 ,1730.9
South Pemba, 2009 ,1626.6
South Pemba, 2010 ,1627.5
South Pemba, 2011 ,1864.5
South Pemba, 2012 ,1589.2
South Pemba, 2013 ,1678
South Pemba, 2014 ,2111.5
South Pemba, 2015 ,1882.9
South Pemba, 2016 ,1657.4
South Pemba, 2017 ,2109.6
Katavi, 2000 ,950.298732198
Katavi, 2001 ,945.993462295
Katavi, 2002 ,1147.25827061
Katavi, 2003 ,858.348850769
Katavi, 2004 ,990.853161916
Katavi, 2005 ,740.668188043
Katavi, 2006 ,1078.1384487
Katavi, 2007 ,912.234412684
Katavi, 2008 ,1115.39811576
Katavi, 2009 ,1104.21333683
Katavi, 2010 ,924.974988553
Katavi, 2011 ,1063.10558947
Katavi, 2012 ,901.076430072
Katavi, 2013 ,948.909004895
Katavi, 2014 ,910.227930276
Katavi, 2015 ,1102.88613936
Katavi, 2016 ,1227.15612145
Katavi, 2017 ,1066.97512116
Njombe, 2000 ,1218.77063009
Njombe, 2001 ,1236.16256513
Njombe, 2002 ,1569.92414211
Njombe, 2003 ,1092.78429332
Njombe, 2004 ,1302.47727728
Njombe, 2005 ,1020.32712194
Njombe, 2006 ,1279.82944618
Njombe, 2007 ,1255.96105758
Njombe, 2008 ,1309.72067539
Njombe, 2009 ,1283.42877303
Njombe, 2010 ,1119.48389349
Njombe, 2011 ,1350.46808477
Njombe, 2012 ,1252.93027877
Njombe, 2013 ,1146.4574044
Njombe, 2014 ,1313.34443794
Njombe, 2015 ,1272.34407247
Njombe, 2016 ,1295.46779753
Njombe, 2017 ,1332.04711993
Geita, 2000 ,825.410068211
Geita, 2001 ,958.106649591
Geita, 2002 ,1282.93188342
Geita, 2003 ,698.957269275
Geita, 2004 ,809.840007069
Geita, 2005 ,819.912995385
Geita, 2006 ,1107.88785347
Geita, 2007 ,1087.84929857
Geita, 2008 ,885.709721855
Geita, 2009 ,1020.4139489
Geita, 2010 ,947.324814351
Geita, 2011 ,1026.89354829
Geita, 2012 ,1045.92553885
Geita, 2013 ,966.44246433
Geita, 2014 ,860.043291075
Geita, 2015 ,1117.06388287
Geita, 2016 ,930.666289136
Geita, 2017 ,1094.65523402
Simiyu, 2000 ,596.480081338
Simiyu, 2001 ,837.012859474
Simiyu, 2002 ,1128.68451573
Simiyu, 2003 ,568.659860142
Simiyu, 2004 ,724.173168188
Simiyu, 2005 ,695.991975258
Simiyu, 2006 ,974.777589954
Simiyu, 2007 ,844.193511864
Simiyu, 2008 ,719.76758206
Simiyu, 2009 ,712.720570677
Simiyu, 2010 ,736.587971147
Simiyu, 2011 ,887.149057829
Simiyu, 2012 ,900.420907414
Simiyu, 2013 ,819.799456612
Simiyu, 2014 ,641.587980713
Simiyu, 2015 ,1052.8943254
Simiyu, 2016 ,786.943398221
Simiyu, 2017 ,825.716917149
Mwanza, 2000 ,751.715429857
Mwanza, 2001 ,995.610149259
Mwanza, 2002 ,1397.45443736
Mwanza, 2003 ,691.427292432
Mwanza, 2004 ,833.875527775
Mwanza, 2005 ,911.235563241
Mwanza, 2006 ,1119.2021009
Mwanza, 2007 ,1137.98433961
Mwanza, 2008 ,858.379755409
Mwanza, 2009 ,963.797143989
Mwanza, 2010 ,924.383889075
Mwanza, 2011 ,1071.62584127
Mwanza, 2012 ,1176.30240142
Mwanza, 2013 ,1010.02420454
Mwanza, 2014 ,852.524939662
Mwanza, 2015 ,1240.23658587
Mwanza, 2016 ,938.449983681
Mwanza, 2017 ,1071.88506558
Shinyanga, 2000 ,706.630292406
Shinyanga, 2001 ,859.124451681
Shinyanga, 2002 ,1183.38918137
Shinyanga, 2003 ,613.766943956
Shinyanga, 2004 ,738.333519488
Shinyanga, 2005 ,692.926044677
Shinyanga, 2006 ,1073.27424527
Shinyanga, 2007 ,952.006980667
Shinyanga, 2008 ,806.806333782
Shinyanga, 2009 ,838.414455974
Shinyanga, 2010 ,806.194659478
Shinyanga, 2011 ,877.660093332
Shinyanga, 2012 ,925.830844209
Shinyanga, 2013 ,917.497266195
Shinyanga, 2014 ,742.947606033
Shinyanga, 2015 ,1071.03137554
Shinyanga, 2016 ,897.536889049
Shinyanga, 2017 ,1058.543168
